ID,Name,Description,RoomType,MinFloor,MaxFloor,SpawnWeight,FlavorText
EV_001,고대의 제단,신비로운 제단이 발견되었습니다,Event,1,4,10,오래된 제단에서 미지의 기운이 느껴집니다...
EV_002,상인의 캠핑,여행자의 임시 캠프장입니다,Shop,1,4,15,피곤한 여행자가 짐을 내려놓았습니다.
EV_003,신선한 샘물,휴식을 취할 수 있는 안식처입니다,Rest,1,4,20,맑은 물소리가 들려옵니다. 잠시 쉬어가도 좋을 것 같습니다.
EV_004,보물 상자,잠긴 보물 상자가 있습니다,Event,1,3,12,반짝이는 보물 상자가 눈에 띕니다.
EV_005,덤불 속의 함정,적대적인 존재가 숨어 있습니다,Battle,2,4,18,덤불이 수상하게 움직입니다...
EV_006,수상한 상인,특이한 물건을 파는 의문의 상인입니다,Shop,2,4,8,"그는 당신을 빤히 쳐다보며 미소를 짓습니다."
EV_007,다크 엘프의 매복,매복한 적들과 조우합니다,Battle,3,4,15,어둠 속에서 눈빛이 번뜩입니다!
EV_008,고대의 유물,오래된 유적이 발견되었습니다,Event,3,4,7,고대 문명의 흔적이 남아있습니다...
EV_009,보스의 방,이 층의 보스가 기다리고 있습니다,Boss,1,4,5,무거운 문 너머로 강렬한 기운이 느껴집니다.
EV_010,신비한 빛,신비로운 현상이 발생합니다,Event,2,4,10,공간이 일그러지며 기이한 빛이 나타납니다.
